x0_0,x0_1,x0_2,x0_3,x0_4,x0_5,x0_6,x0_7,x0_8,x0_9,x0_10,x0_11,x0_12,x0_13,x0_14,x0_15,x0_16,x0_17,xopt_0,xopt_1,xopt_2,xopt_3,xopt_4,xopt_5,xopt_6,xopt_7,xopt_8,xopt_9,xopt_10,xopt_11,xopt_12,xopt_13,xopt_14,xopt_15,xopt_16,xopt_17
3.0774,0.5127,2.0694,1.0238,2.0608,2.0648,3.1324,0.5235,1.9133,1.024,1.9264,1.9772,2.9304,0.4877,2.0462,1.0012,1.9884,1.9457,24.821,0.0,3.9369,22.0178,1.7288,0.5259,21.9135,0.0,0.8899,22.5417,2.2988,1.2294,22.4828,0.3178,1.4381,21.6527,2.8302,0.892
2.9748,0.4772,2.0027,0.9723,1.9979,1.9847,2.9551,0.4899,2.075,1.0459,1.9793,1.9395,3.1405,0.4825,1.9995,0.9761,2.0912,1.9585,27.83,0.0005,0.5169,19.506,0.0224,0.0318,22.5762,0.0094,2.5395,23.2374,3.2033,0.0,18.0443,0.001,1.5428,15.4509,1.3074,0.0
2.9814,0.4807,2.0644,0.9797,1.9866,2.0471,3.0873,0.5028,2.0395,0.9902,2.0872,2.0932,2.8714,0.5194,1.9703,0.9589,1.9083,1.9097,19.9103,0.0013,0.0342,15.4714,1.9464,0.0,21.7157,0.0058,3.4083,17.7525,1.3165,0.0,14.6296,0.0024,3.0601,13.0309,0.4337,0.0
3.0962,0.5217,2.0739,1.0247,2.0694,1.9419,3.0481,0.502,1.9924,1.0187,1.9699,1.9966,3.143,0.4969,2.0694,0.9597,2.0643,1.9114,25.3795,0.0011,2.4171,18.3873,2.9057,0.0,23.8676,0.0003,0.5814,21.6354,0.0262,0.0,17.5561,0.0005,1.7592,15.0718,2.5859,0.7416
3.0414,0.5192,2.0475,1.0226,2.0328,2.035,2.9831,0.4823,2.0034,0.9624,2.0714,2.0697,3.113,0.5239,2.0718,1.0163,1.9267,2.0292,20.1572,0.0023,0.044,16.3619,0.1803,0.0,20.358,0.0041,0.6427,16.0254,2.4333,0.0,16.5673,0.0003,3.7987,15.8151,0.0,0.0
3.0329,0.4815,2.0506,1.0307,2.0548,1.9114,3.0323,0.5028,2.0863,0.9786,1.9186,2.0627,2.9453,0.4879,1.9303,0.9913,2.0897,2.0671,21.7001,0.0004,5.2072,18.3498,2.5157,0.284,26.2228,0.0,2.5681,17.0656,2.5209,0.0,18.335,0.0,2.1871,14.9496,1.3035,0.8978
3.1328,0.492,1.9754,0.9892,1.9508,2.0507,2.9567,0.4844,2.0405,0.9669,1.9897,2.0417,2.877,0.4856,1.9081,1.0038,1.9854,1.9824,24.2065,0.0344,0.2356,21.3858,0.6785,0.0,27.763,0.0049,5.7853,21.0553,2.5196,0.0,18.3307,0.0017,2.7294,16.4463,0.4592,0.2227
3.0493,0.4895,1.9535,1.0295,2.0146,1.9808,2.8522,0.5221,1.9777,1.0053,1.9585,1.9988,3.0551,0.4904,1.9894,0.9769,1.9398,2.0531,25.8296,0.0001,2.5738,21.0994,1.6125,0.0309,26.0958,0.0,1.9084,21.4344,2.5957,0.4978,20.4093,0.0,1.5662,16.3514,2.4124,1.2733
2.9954,0.5024,2.0333,0.9628,2.0172,2.0885,3.0312,0.4791,1.9679,1.0497,1.9731,2.0741,3.0483,0.4756,1.9277,0.9833,1.9009,1.9685,21.8025,0.0013,3.7252,18.8846,1.5419,0.0911,23.9513,0.0,1.2854,18.9027,0.0,2.6682,15.6779,0.0,2.1898,14.7585,1.5262,0.9916
3.0383,0.519,2.0143,0.9531,2.0632,1.9148,2.9095,0.4877,1.9138,0.9707,1.9927,1.9046,2.9007,0.4873,2.0575,0.9555,1.958,2.0523,25.4999,0.0,1.9086,19.655,0.8893,0.0561,22.1959,0.0001,4.2968,17.3669,3.0922,0.0,18.2427,0.0001,3.7588,17.9222,1.722,0.7748
